edge_id,source_asset_id,relationship_type,target_asset_id,relationship_context,description
EDGE-0055,ORC-B-P101,feeds,ORC-B-H101,ProcessFlow,Crude charge pump feeds fired heater
EDGE-0056,ORC-B-H101,feeds,ORC-B-C101,ProcessFlow,Fired heater feeds atmospheric column
EDGE-0057,ORC-B-C101,flowsTo,ORC-B-FCC101,ProcessFlow,Atmospheric column side streams flow to conversion unit
EDGE-0058,ORC-B-C101,flowsTo,ORC-B-TREAT,ProcessFlow,Atmospheric column streams flow to treating area
EDGE-0059,ORC-B-FCC101,flowsTo,ORC-B-TREAT,ProcessFlow,Conversion product streams flow to treating area
EDGE-0060,ORC-B-TREAT,flowsTo,ORC-B-EXPORT,ProcessFlow,Treated products flow to blending and export
EDGE-0061,ORC-B-UTIL,feeds,ORC-B-H101,Utilities,Refinery utilities provide fuel and services to fired heater
EDGE-0062,ORC-B-SAFE,protects,ORC-B-H101,Safety,Safety and control protects fired heater
EDGE-0063,ORC-B-SAFE,protects,ORC-B-CDU101,Safety,Safety and control protects crude distillation unit
EDGE-0064,OPH-A-W01,hasTelemetry,TAG-OPH-A-W01-THP-PV,Telemetry,Production well has wellhead pressure telemetry
EDGE-0065,OPH-A-W01,hasTelemetry,TAG-OPH-A-W01-CHOKE-POS,Telemetry,Production well has choke position telemetry
EDGE-0066,OPH-A-W01,hasTelemetry,TAG-OPH-A-W01-FLOW-PV,Telemetry,Production well has flow telemetry
EDGE-0067,OPH-A-V101,hasTelemetry,TAG-OPH-A-V101-PRESS-PV,Telemetry,Inlet separator has pressure telemetry
EDGE-0068,OPH-A-V101,hasTelemetry,TAG-OPH-A-V101-LEVEL-PV,Telemetry,Inlet separator has level telemetry
EDGE-0069,OPH-A-K101,hasTelemetry,TAG-OPH-A-K101-DP-PV,Telemetry,Gas compressor has discharge pressure telemetry
EDGE-0070,OPH-A-K101,hasTelemetry,TAG-OPH-A-K101-VIB-PV,Telemetry,Gas compressor has vibration telemetry
EDGE-0071,OPH-A-K101,hasTelemetry,TAG-OPH-A-K101-TEMP-PV,Telemetry,Gas compressor has bearing temperature telemetry
EDGE-0072,OPH-A-M101,hasTelemetry,TAG-OPH-A-M101-POWER-PV,Telemetry,Compressor driver has power telemetry
EDGE-0073,ORC-B-T101,hasTelemetry,TAG-ORC-B-T101-LEVEL-PV,Telemetry,Crude storage tank has level telemetry
EDGE-0074,ORC-B-P101,hasTelemetry,TAG-ORC-B-P101-FLOW-PV,Telemetry,Crude charge pump has flow telemetry
EDGE-0075,ORC-B-P101,hasTelemetry,TAG-ORC-B-P101-VIB-PV,Telemetry,Crude charge pump has vibration telemetry
EDGE-0076,ORC-B-H101,hasTelemetry,TAG-ORC-B-H101-FUEL-PV,Telemetry,Fired heater has fuel gas flow telemetry
EDGE-0077,ORC-B-H101,hasTelemetry,TAG-ORC-B-H101-TEMP-PV,Telemetry,Fired heater has outlet temperature telemetry
EDGE-0078,ORC-B-C101,hasTelemetry,TAG-ORC-B-C101-TOP-TEMP,Telemetry,Atmospheric column has top temperature telemetry
EDGE-0079,ORC-B-C101,hasTelemetry,TAG-ORC-B-C101-DP-PV,Telemetry,Atmospheric column has differential pressure telemetry
EDGE-0080,OPH-A-K101,hasKPI,CompressionEfficiency,BusinessSemantics,Gas compressor contributes to compression efficiency KPI
EDGE-0081,OPH-A,hasKPI,ProductionThroughput,BusinessSemantics,Offshore production hub contributes to production throughput KPI
EDGE-0082,OPH-A,hasKPI,AssetAvailability,BusinessSemantics,Offshore production hub contributes to asset availability KPI
EDGE-0083,ORC-B,hasKPI,RefineryUtilization,BusinessSemantics,Refinery complex contributes to refinery utilization KPI
EDGE-0084,ORC-B-H101,hasKPI,EnergyIntensity,BusinessSemantics,Fired heater contributes to energy intensity KPI
EDGE-0085,ORC-B,hasKPI,EmissionsIntensity,BusinessSemantics,Refinery complex contributes to emissions intensity KPI
